,Date,ASPI,Banks_finance_insurance,trend,seasonal,residual
1134,2012-09-27,5949.42,13637.9,9.4160470317417,0.06386819710894572,0.040692731749631214
1135,2012-09-28,5971.99,13667.92,9.4159100271653,0.06266675680306755,0.044229976162182605
1136,2012-10-01,5964.29,13534.36,9.415773803263473,0.06404512143312709,0.03316799141669839
1137,2012-10-02,5928.53,13485.54,9.41564250617289,0.06923832034600849,0.024492452747053833
1138,2012-10-03,5890.69,13439.79,9.415488710027436,0.06960916842936478,0.0208771104982685
1139,2012-10-04,5861.35,13375.63,9.415334784517766,0.06812420759677622,0.017730681344101454
1140,2012-10-05,5879.69,13539.52,9.415214533307317,0.07242001005034054,0.0257335519632364
1141,2012-10-08,5847.17,13424.65,9.415145114230253,0.06986095765868534,0.01984177638477795
1142,2012-10-09,5833.32,13362.41,9.415072293025164,0.07043115552572515,0.014697371493125722
1143,2012-10-10,5772.52,13177.67,9.415027843927238,0.06500208385807256,0.006249081638678142
1144,2012-10-11,5720.86,13059.8,9.414987312934185,0.06466407449910634,-0.0023572986558114267
1145,2012-10-12,5738.24,12996.26,9.414948040162619,0.06199524212035919,-0.0045263795383675
1146,2012-10-15,5653.8,12747.98,9.414841162895968,0.06158770330443588,-0.023300759537956427
1147,2012-10-16,5608.13,12585.36,9.414746613472628,0.06262717473505142,-0.03708427556467442
1148,2012-10-17,5586.4,12531.91,9.414679096772264,0.06176596778154277,-0.04041159412257891
1149,2012-10-18,5625.32,12627.66,9.41465926425915,0.060611810453371294,-0.03162614969232138
1150,2012-10-19,5649.53,12712.02,9.41465400405536,0.06144451330990741,-0.025795235833400487
1151,2012-10-22,5553.89,12455.28,9.414655725055276,0.056514882920978886,-0.04127069960131274
1152,2012-10-23,5556.77,12443.03,9.414720047774004,0.05391038476347163,-0.03971452677061713
1153,2012-10-24,5543.25,12392.21,9.414835337115427,0.05253631266726757,-0.042548321412535305
1154,2012-10-25,5576.72,12449.53,9.414948467446827,0.05470484530081408,-0.040215162571389775
1155,2012-10-26,5550.88,12371.77,9.415070640667963,0.05343352580774401,-0.04533162320889155
1156,2012-10-30,5520.62,12335.92,9.415091743138905,0.052632582674230766,-0.04745371511535901
1157,2012-10-31,5513.64,12313.35,9.41505403063832,0.049835653179370644,-0.046450365187193234
1158,2012-11-01,5494.54,12151.06,9.415052718105581,0.04020398078714351,-0.050085011131107325
1159,2012-11-02,5532.32,12206.95,9.415051052782646,0.03500109915645304,-0.04029141128817308
1160,2012-11-05,5539.31,12222.06,9.415080959201381,0.03782808691660826,-0.04191125149501211
1161,2012-11-06,5556.59,12281.54,9.415128131589086,0.036422114775503125,-0.035697645360152144
1162,2012-11-07,5570.87,12295.03,9.41519157054065,0.03737345099838223,-0.03561462687544818
1163,2012-11-08,5580.84,12335.24,9.415312989086289,0.035065072711705204,-0.030162576193659453
1164,2012-11-09,5589.43,12373.5,9.415488041277957,0.030643620147982206,-0.02281929345704363
1165,2012-11-12,5599.88,12382.03,9.415743372989139,0.02879536186516589,-0.020537227906151687
1166,2012-11-14,5574.96,12310.39,9.41613064146451,0.027619933488773115,-0.025551674716926983
1167,2012-11-15,5558.25,12266.33,9.416498240378926,0.02725888607086688,-0.0291437369896925
1168,2012-11-16,5556.32,12292.49,9.416716069873713,0.02498590039408832,-0.024958184486206677
1169,2012-11-19,5503.93,12028.01,9.416898808849313,0.012587343491878332,-0.03449277683970202
1170,2012-11-20,5433.95,11800.87,9.417067636349042,0.006708142090568291,-0.04784724189013005
1171,2012-11-21,5360.6,11680.33,9.417121118401084,0.010944157983197943,-0.06240376697652785
1172,2012-11-22,5406.65,11740.87,9.417072320033807,0.005860573982676986,-0.052101697758276735
1173,2012-11-23,5407.11,11769.62,9.417054047677178,0.008213327051873097,-0.0519904604674543
1174,2012-11-26,5384.89,11717.99,9.417113745179572,0.012244289913137085,-0.060477488376288524
1175,2012-11-28,5334.68,11604.55,9.417178510994166,0.011899860988735543,-0.06992583041567493
1176,2012-11-29,5363.6,11645.51,9.41719542184385,0.015310530454874115,-0.06982997531884465
1177,2012-11-30,5351.25,11627.38,9.417216167539607,0.013346305126921653,-0.0694445319827451
1178,2012-12-03,5337.71,11665.2,9.41722490037022,0.016437503748750547,-0.06929707450394632
1179,2012-12-04,5331.45,11654.64,9.417251225614702,0.014378699647401592,-0.06817026230017967
1180,2012-12-05,5323.21,11654.76,9.417274159042922,0.011669032893877971,-0.06547323269955349
1181,2012-12-06,5387.33,11830.16,9.417320563836245,0.012281032305479944,-0.051194114324151774
1182,2012-12-07,5387.4,11794.22,9.417366785160045,0.010658735807954688,-0.052660661028872305
1183,2012-12-10,5404.86,11843.8,9.417422745572885,0.003882519165993802,-0.04174546184706884
1184,2012-12-11,5417.78,11804.33,9.417476940707205,-0.0019624686873250816,-0.03929277972295708
1185,2012-12-12,5516.64,12052.98,9.417552122016712,-0.003197928712403166,-0.01728698205526584
1186,2012-12-13,5547.36,12081.88,9.417614402735971,-0.004755732847702344,-0.013396581369348869
1187,2012-12-14,5522.72,12041.64,9.417655865026772,-0.002497969527896938,-0.019031973287576
1188,2012-12-17,5503.51,11984.07,9.417755978812096,0.0003332339034140862,-0.026755665854072606
1189,2012-12-18,5507.79,12036.19,9.417862118639825,0.0007168720578891938,-0.022905767096968364
1190,2012-12-19,5512.66,12011.85,9.418001864086605,-0.002316818145157453,-0.02203610442868424
1191,2012-12-20,5527.36,12067.28,9.418131297027239,-0.0024978292363400786,-0.01738053120759979
1192,2012-12-21,5516.49,12051.47,9.418231995646071,-0.0006042591378371725,-0.02068581332857129
1193,2012-12-24,5524.89,12042.43,9.418357225548109,-0.004600840401470375,-0.017564859405679843
1194,2012-12-26,5570.91,12088.81,9.418488290239843,-0.0071236047741035655,-0.011329175154565552
1195,2012-12-28,5607.13,12174.21,9.418626174564563,-0.0111314111925531,-0.0004197045901306526
1196,2012-12-31,5643.0,12206.7,9.418753561338374,-0.00942730543111352,0.000414004397627888
1197,2013-01-02,5683.79,12395.52,9.418879639547237,-0.008608464314573253,0.01481922075681126
1198,2013-01-03,5730.45,12570.0,9.41903399549249,-0.01309753204590194,0.03313183813770351
1199,2013-01-04,5747.71,12646.5,9.41919664055793,-0.007837210360427064,0.03377634583333744
1200,2013-01-07,5746.09,12665.78,9.419382842487371,-0.0054193017545931315,0.032695606857521466
1201,2013-01-08,5751.93,12704.54,9.419575234310727,0.007567371946871691,0.02257208262317938
1202,2013-01-09,5745.1,12624.21,9.419783013979492,0.004718547817447249,0.01887011613134575
1203,2013-01-10,5732.21,12592.67,9.420015864949129,-0.004012411642484961,0.024866724321301062
1204,2013-01-11,5746.49,12618.06,9.420238486021773,-0.006472091126523762,0.029118005135945493
1205,2013-01-15,5750.24,12719.79,9.420440118774291,-0.0012180693706963517,0.03169227792027385
1206,2013-01-16,5812.47,12668.69,9.420628191671227,-0.0019373842959702582,0.028198066750691166
1207,2013-01-17,5875.28,12749.91,9.420818565560133,0.0008167802095008659,0.03164414596849603
1208,2013-01-18,5875.77,12821.55,9.420947652681871,0.00483559324606404,0.033099382074519276
1209,2013-01-21,5862.02,12945.94,9.421085615561246,0.01046027670234395,0.036991612194944845
1210,2013-01-22,5870.93,12973.88,9.42126682241479,0.005975368017525472,0.04345119403014379
1211,2013-01-23,5883.66,13030.11,9.421444759906265,0.003783973373388182,0.04978937886039538
1212,2013-01-24,5878.19,12966.72,9.421624670521437,-0.0012555219437601966,0.04977220546283199
1213,2013-01-28,5855.09,12941.43,9.42180465563223,-0.00035887738334536897,0.046743293746589455
1214,2013-01-29,5800.75,12841.12,9.421980053754389,-0.0033006695559902226,0.0417284166557949
1215,2013-01-30,5825.9,12811.19,9.422172067876355,0.0017392015064259456,0.03416301736827918
1216,2013-01-31,5816.89,12777.63,9.422366974108815,0.007510709462530162,0.025573581153552707
1217,2013-02-01,5799.69,12779.91,9.42254586135877,0.003760949693610914,0.029322874600825766
1218,2013-02-05,5781.3,12690.05,9.422743987694233,-0.0027581885323834108,0.028587701649144814
1219,2013-02-06,5780.09,12785.19,9.422991210130082,-0.0022849241577454623,0.035336462807952954
1220,2013-02-07,5810.42,12988.76,9.423257174837836,0.001394088424222349,0.047188383801527393
1221,2013-02-08,5850.67,13068.99,9.423570318791604,0.0017066863269462147,0.05272052230870699
1222,2013-02-11,5851.35,12981.44,9.42389463338856,0.0009511022666202282,0.04643018835707522
1223,2013-02-12,5836.11,12925.07,9.424192110867677,-0.003427426227160946,0.04615943058218306
1224,2013-02-13,5827.02,12937.26,9.424505259164079,-0.002632335082467986,0.045993875029409347
1225,2013-02-14,5825.29,12963.87,9.424774224070589,0.0013127013379889297,0.04383461103337545
1226,2013-02-15,5830.26,13013.25,9.42504487806228,0.004133137245381068,0.04454533284222932
1227,2013-02-18,5774.59,12874.12,9.42531795893643,0.0007844818042605827,0.03687193294074766
